Subregion,Stream_Number,StreamName,AWC_CODE,LATITUDE,LONGITUDE,Year,Pink_Abundance,Cons_Abundance,WMA_Releases_in_millions,mean_flow,CV_flow
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2008,NA,5800,50.36613915,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2009,NA,12000,49.59574097,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2010,NA,1100,57.75776174,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2011,NA,3300,61.01596966,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2013,NA,1000,57.81027994,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2014,NA,1048.029293,55.85050438,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2015,NA,600,60.24278955,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2017,NA,3075.883195,64.79306714,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2018,NA,1209.20828,61.92278769,197.42,0.64
NSE Inside,115-20-010,Berners River,115-20-10100,58.836985,-134.996836,2019,NA,300,55.20941869,197.42,0.64
NSE Outside,113-62-009,Kalinin Cove Hd,113-62-10090,57.306053,-135.779605,2008,NA,5140,NA,0.53,0.49
NSE Outside,113-62-009,Kalinin Cove Hd,113-62-10090,57.306053,-135.779605,2009,NA,2000,NA,0.53,0.49
NSE Outside,113-62-009,Kalinin Cove Hd,113-62-10090,57.306053,-135.779605,2010,NA,580,NA,0.53,0.49
NSE Outside,113-62-009,Kalinin Cove Hd,113-62-10090,57.306053,-135.779605,2011,NA,1190,NA,0.53,0.49
NSE Outside,113-62-009,Kalinin Cove Hd,113-62-10090,57.306053,-135.779605,2013,NA,1000,NA,0.53,0.49
NSE Outside,113-62-009,Kalinin Cove Hd,113-62-10090,57.306053,-135.779605,2014,NA,1500,NA,0.53,0.49
