AWC_CODE,StreamName,Shape_Leng,Latitude,Longitude
103-30-10350,Ham Cove Creek,3424.86271,54.87369919,-132.8613434
105-32-10160,Big John Creek,2770.830763,56.81419373,-133.6835632
101-71-10040-2025,Indian Creek,2177.480256,55.99208069,-130.6526031
101-11-10330, ,2322.265488,54.95942688,-130.7450104
113-66-10040, ,1873.224194,57.29784012,-135.5876007
103-90-10260-2015, ,6625.590916,55.88158035,-133.1320343
114-23-10700,Mud Bay River,15937.85938,58.18963242,-135.9924011
114-77-11000,Wolf Point Creek,1298.307361,58.99729919,-136.1669769
109-63-10170, ,1465.031656,56.23828506,-134.2083893
105-50-10010,Trout Creek,4547.629606,56.05044174,-133.6971741
107-40-10550,Eagle River,6678.398092,56.15883255,-131.5907745
115-34-10230-2018, ,1185.811373,59.55466843,-135.342804
113-95-10030,Pelican Creek,1077.88204,57.95691299,-136.2187958
106-44-10600,Petersburg Creek,7746.214483,56.8404274,-133.0478668
103-11-10190, ,4542.867477,54.86865997,-132.2925415
101-71-10040-2005,Humpy Creek,4647.356033,55.84875488,-130.8729401
103-90-10810, ,1866.834051,56.1019516,-133.3286743
113-44-10030-2016, ,475.3791041,57.15493393,-135.1472473
101-55-10200-2003, ,2333.551973,55.41989517,-130.6307068
109-20-10210, ,1106.278555,56.92446518,-134.7465057
101-29-10400, ,2148.701779,55.15037155,-131.7794037
104-30-10153, ,1006.611944,55.26955414,-133.4303894
101-71-10040-2018,South Fork Chickamin River,7256.86595,55.87520981,-130.7411804
109-42-10300-2003, ,4380.534855,56.77746964,-133.9971771
113-96-10010, ,220.6873348,57.916008,-136.3016815
113-43-10010-2005, ,1414.904031,57.25431061,-135.3412323
105-31-10110, ,1193.601072,56.50854874,-133.9709167
112-48-10230,*West Bay Head Creek,4981.405364,57.9379158,-135.8227386
105-32-10040,Tuneheah Creek,13030.0282,56.58881378,-133.6639099
103-60-10170, ,1132.652791,55.61977005,-133.081543
115-20-10620-2006,South Fork Cowee Creek,1500.118075,58.62422562,-134.8678589
101-45-10240,White River,7038.639509,55.47350693,-131.5378571
111-15-10200,*Windfall Creek,3753.276674,57.82360458,-134.2947845
115-32-10250-2077-3010,Twentysixmile Creek,973.3357192,59.41330338,-135.9780579
114-23-10370,*Eagle Point Creek,2164.698245,58.24417114,-135.7397614
103-60-10690,*Canoe Creek,2641.313586,55.37789536,-133.0130463
115-32-10250-2023,*Takhin River,28004.99546,59.27046585,-135.6746368
103-50-10190, ,647.0662593,55.4305954,-133.3131866
113-51-10120-2025, ,790.2369952,57.49375534,-135.416748
103-50-10350, ,1993.508775,55.28244019,-133.1224823
103-90-10750, ,1146.976429,56.0182457,-133.3207245
109-42-10010,Pt White Creek,2492.703804,57.01722336,-134.0278168
113-65-10040-2007, ,1052.448994,57.35251617,-135.4230652
113-51-10010,*Broad Creek,5200.108525,57.5928688,-135.3711395
109-20-10110, ,340.2897389,56.78619003,-134.7494812
103-40-10710, ,1101.814317,55.09014893,-133.0977478
106-41-10570-2009, ,1014.33427,56.52964783,-133.3870392
113-41-10040, ,2546.074348,57.00472641,-135.7406311
114-33-10230,Neka River,4941.435999,58.05673981,-135.787735
111-41-10100,*Reef Creek,1064.273185,58.16998672,-134.6122284
112-15-10500, ,2365.461553,58.45003128,-135.1090088
