Sub-region,Management Area,Stream_Number,StreamName,STAT_AREA_NAME,AWC_CODE,LATITUDE,LONGITUDE,Watershed_ID,Watershed_km2,mean_flow,CV_flow,Stream_spans_2_WSheds,Scenario_A,Scenario_B,Notes,Triple-checked
SSE,Ketchikan,103-70-011,11 Mile Creek,11-Mile,103-70-10110,55.58487972,-133.2770951,"4141, 4105",51,3.15,0.55,X,,X,Same 2nd WShed as Picnic Bay (4105),X
SSE,Ketchikan,102-60-039,142F Creek,Kasaan Bay,102-60-10390,55.35556911,-132.5182465,4147,192,16.94,0.46,,,X,"Same WShed as Cabin Creek-Polk Inlet, Dog Salmon Creek-Kasaan Bay, Goose Bay Creek, and Rock Creek",X
SSE,Petersburg,107-40-057,1st E of Hoya Creek,Blake Channel,107-40-10570,56.18684297,-131.6993936,7919,57,5.28,0.61,,X,,,X
NSE Inside,Petersburg,110-34-013,1st E of Negro Creek,Port Houghton,110-34-10130,57.28460026,-133.3608301,9929,12,0.48,0.58,,,X,Shares WShed with Placer Creek,X
NSE Inside,Petersburg,110-16-013,1st E Schooner Island,Schooner Is/Big Creek/Portage Bay,110-16-10130,57.07941572,-133.7796834,"9286, 9287",61,3.3,0.6,,X,,Same WShed as Schooner Island (9286),X
NSE Inside,Petersburg,110-23-012,1st East of Bowman,Gambier Bay,110-23-10120,57.49884815,-134.0797678,10121,118,5.66,0.52,,,X,Same WShed as Johnston Creek,X
NSE Inside,Juneau,112-73-030,1st NW of Weir Creek,S Arm Hood Bay,112-73-10300,57.3505396,-134.386129,9710,172,11.1,0.48,,,X,"Same WShed as Hood Bay N Arm E Head, Hood Bay S Arm Head, Hood Bay S Arm Head N, Narrows Creek, Weir Creek N Arm Hood Bay, Weir Creek S Arm Hood Bay",X
NSE Inside,Petersburg,109-62-13A,1st S Alecks Creek,Tebenkof Bay,109-62-10134,56.50035739,-134.0398925,7501,9,0.4,0.58,,,X,Same WShed as Alecks Creek,X
NSE Inside,Juneau,111-31-036,1st S of Twin Point,Point Arden to Midway Islands,111-31-10360,57.89749587,-134.0050604,11197,14,0.23,0.63,,,X,Same WShed as Twin Point Creek,X
NSE Inside,Juneau,111-41-012,1st W Admiralty Creek,Youngs Bay,111-41-10120,58.16353043,-134.6289851,11763,6,0.21,0.58,,X,,,X
SSE,Petersburg,105-10-003,2nd N Louise Cove,Affleck Canal/Spanish Is/Louise Cove,105-10-10092,56.21106755,-133.915286,6278,6,0.25,0.57,,,X,Same WShed as West of Pt Amelius ,X
NSE Inside,Petersburg,109-63-003,2nd W Joyce Creek,Port Malmsbury,109-63-10030,56.32594514,-134.2028114,6558,6,0.36,0.55,,,X,Same WShed as Gods Pocket North and Tavin Creek,X
NSE Inside,Petersburg,110-16-007,2nd W of West Point,Schooner Is/Big Creek/Portage Bay,110-16-10070,57.01653069,-133.4464548,9261,18,0.72,0.58,,X,,,X
SSE,Petersburg,105-32-073,3 Mile Arm NW Arm Hd,Rocky Pass/Threemile Arm/Seclusion Hbr,105-32-10730,56.61791271,-133.9401826,7985,24,1.58,0.52,,,X,,X
NSE Inside,Juneau,111-31-030,3rd S of Twin Point,Point Arden to Midway Islands,111-31-10300,57.85837903,-133.9768246,11064,11,0.52,0.53,,X,,,X
NSE Inside,Petersburg,109-62-009,4th NE of Gap Pt,Tebenkof Bay,109-62-10090,56.51515098,-134.1051093,7580,6,0.3,0.54,,,X,Same WShed as Elena Bay NW Side,X
NSE Inside,Juneau,111-41-005,Admiralty Creek,Youngs Bay,111-41-10050,58.17570195,-134.5609103,11825,83,6.85,0.56,,X,,,X
SSE,Petersburg,105-10-018,Affleck Canal NE,Affleck Canal/Spanish Is/Louise Cove,105-10-10185,56.32102209,-134.0692955,6604,25,1.42,0.54,,,X,Same WShed as Kathleen Creek-Affleck Canal,X
SSE,Ketchikan,102-30-087,Aiken Cove,Moira Sound,102-30-10870,55.11965203,-132.2046547,3494,77,5.7,0.51,,,X,Same WShed as Kitkun Bay and Miller Lake Creek,X
SSE,Ketchikan,103-60-043,Airport Creek S Klawock,Big Salt/Trocadero Bay,103-60-10430,55.57041129,-133.0883748,"4262, 4143",150,11.04,0.51,X,,X,Same WShed as Port St Nicholas Head (4143),X
SSE,Petersburg,106-41-044,Alder Creek,Sumner Strait/Pt Baker/Macnamara,106-41-10440,56.34075155,-133.5357637,7190,42,3.14,0.49,,X,,,X
NSE Inside,Petersburg,109-62-013,Alecks Creek,Tebenkof Bay,109-62-10130,56.50434398,-134.0431637,7501,9,0.4,0.58,,,X,"Same WShed as 1st of S Alecks Creek, >25% of stream is in other WShed, but that Wshed drains to other side of peninsula so I did not combine them",X
NSE Inside,Juneau,114-50-020,Althrop Creek,Port Althorp,114-50-10200,58.10115548,-136.2677675,10734,31,2.63,0.49,,,X,Same 2nd WShed as Humpie Creek-Port Althorp,X
SSE,Petersburg,105-31-020,Alvin Bay Head,Reid Bay/No Name Bay/Point Barrie,105-31-10200,56.43561251,-133.9521044,"7276, 7220",20,1.14,0.57,X,,X,Same WShed as Alvin Bay North Side (7276),X
SSE,Petersburg,105-31-019,Alvin Bay North Side,Reid Bay/No Name Bay/Point Barrie,105-31-10190,56.43964752,-133.9384232,7276,15,1,0.56,,,X,Same 2nd WShed as Alvin Bay Head,X
NSE Inside,Petersburg,110-22-004,Amber Creek,Pybus Bay,110-22-10040,57.362871,-134.083609,9784,42,1.7,0.55,,X,,,X
SSE,Petersburg,107-20-001,Anan Creek,Anan/Fools/Menefee/Deer Is/N Ernest Sd,107-20-10010,56.1826847,-131.8909033,"7781, 7819",126,10.62,0.62,X,X,,,X
NSE Inside,Juneau,114-50-010,Anchor Bight Creek,Port Althorp,114-50-10100,58.14830148,-136.2726666,10862,10,0.57,0.47,,,X,Same WShed as S Anchor Bight Creek,X
SSE,Petersburg,108-40-020,Andrews Creek,Wrangell,108-40-10150-2008,56.66931379,-132.2534571,NA,NA,NA,NA,,,X,Part of mega-WShed,X
SSE,Petersburg,107-30-078,Anita Bay Head W,Zimovia Strait/Anita Bay,107-30-10780,56.18647214,-132.5092019,7424,162,13,0.49,,,X,"Same WShed as Brad Creek NW Anita Bay, Flat Creek-Mosman Inlet, Mosman Creek E Head, Mosman Inlet NW Head, and Mosman Inlet SE Head",X
NSE Inside,Sitka,113-54-005,Appleton Cove W Head,Rodman Bay,113-54-10050,57.46768588,-135.3097324,9574,21,2.08,0.47,,X,,,X
SSE,Ketchikan,101-30-012,Badger Bay Head,Boca De Quadra,101-30-10120,55.19715102,-130.8211457,4317,75,5.69,0.53,,,X,Same WShed as Weasel Cove Head,X
SSE,Ketchikan,101-55-060,Bakewell Creek,Smeaton Bay,101-55-10600,55.30432232,-130.6253288,5009,797,73.71,0.53,,,X,Same WShed as Wilson River-Smeaton Bay and Blossom River,X
NSE Inside,Juneau,111-50-092,Barlow Cove W Shore,Auke Bay,111-50-10920,58.33348564,-134.8983524,"12212, 12127, 12184",24,1.31,0.67,X,X,,Same WShed as Barlow Head Creek (12184),X
NSE Inside,Juneau,111-50-088,Barlow Head Creek,Auke Bay,111-50-10880,58.31943236,-134.8761178,12184,11,0.67,0.61,,,X,Same 2nd WShed as Barlow Cove W Shore,X
SSE,Ketchikan,103-40-001,Barry Creek,Tlevak Strait,103-40-10010,55.28294781,-133.1015679,3145,22,1.42,0.53,,,X,Same 2nd WShed as E of Waterfall Creek and Ulloa Bay,X
NSE Inside,Juneau,112-50-032,Bay Head Creek,Freshwater Bay,112-50-10320,57.95154159,-135.2182318,10710,114,1.26,0.52,,,X,Same 2nd WShed as Freshwater Creek ,X
SSE,Petersburg,105-42-008,Bear Creek-Dry Pass,Shakan Bay/Calder Bay/El Capitan Pass,105-42-10080,56.17329626,-133.4072541,"6435, 6436",20,1.09,0.57,X,,X,Same 2nd WShed as Marble Creek-Shakan (6435),X
NSE Inside,Juneau,114-32-006,Bear Creek-Midway Rocks,Port Frederick Head,114-32-10060,58.00077848,-135.5800516,"10709, 10563",22,1.58,0.53,X,,X,,X
NSE Inside,Juneau,111-11-020,Bear Creek-Seymour Canal,South Central Seymour Canal,111-11-10200,57.69498851,-134.0704771,"10567, 10568, 10448",24,0.99,0.62,X,,X,3 WSheds included. Same 2nd WShed as Mole Harbor N Side (10448),X
NSE Inside,Juneau,111-50-080,Bear Creek-Stephens Pas,Auke Bay,111-50-10800,58.28049452,-134.7815385,12094,23,1.75,0.58,,X,,,X
SSE,Petersburg,105-10-024,Bear Harbor Creek,Affleck Canal/Spanish Is/Louise Cove,105-10-10240,56.26056526,-134.1326544,6276,19,1.17,0.53,,X,,,X
NSE Inside,Juneau,115-10-065,Beardslee River,Central Lynn Canal,115-10-10650,58.70511454,-135.2392012,13165,34,1.67,0.66,,,X,,X
NSE Inside,Petersburg,110-22-009,Beautiful Creek,Pybus Bay,110-22-10090,57.37157689,-134.1842988,9809,6,0.26,0.58,,X,,,X
SSE,Petersburg,107-40-022,Berg Creek,Blake Channel,107-40-10220,56.39149778,-131.9477186,7914,465,40.53,0.57,,,X,Same WShed as Oerns Creek,X
NSE Inside,Petersburg,109-30-013,Bergmann Creek,Eliza Harbor/Herring Bay/Tyee,109-30-10130,57.12117227,-134.4013202,9165,27,1.35,0.51,,X,,Same 2nd WShed as Herring Bay Middle,X
SSE,Ketchikan,101-60-030,Big Goat Creek,Rudyerd Bay,101-60-10300,55.54744747,-130.6768252,5877,329,29.48,0.56,,,X,"Same WShed as Nooya Creek, Sandpiper Creek, and Valentine Creek",X
NSE Inside,Juneau,112-48-015,Big Goose Creek,Tenakee Head,112-48-10150,57.914283,-135.75456,10439,92,9.78,0.5,,,X,Same WShed as Little Goose Creek,X
SSE,Ketchikan,103-60-027,Big Salt Lake N Side M,Big Salt/Trocadero Bay,103-60-10270,55.63486529,-132.9885334,4529,160,13.39,0.46,,,X,"Same WShed as Blackbear Creek Big Salt, Dog Salmon Creek, and Steelhead Creek",X
SSE,Ketchikan,103-60-037,Big Salt Lake SW Side,Big Salt/Trocadero Bay,103-60-10370,55.59892658,-133.0412159,4481,7,0.51,0.52,,,X,,X
NSE Outside,Sitka,113-81-010,Black Bay North Head,Portlock Harbor,113-81-10100,57.71613976,-136.121746,9823,106,8.8,0.46,,,X,Same WShed as Black River,X
SSE,Petersburg,107-10-030,Black Bear Creek,Union Bay/Emerald Bay/S Ernest Sound,107-10-10300,55.72591689,-132.1684038,5565,41,3.38,0.49,,,X,,X
NSE Outside,Sitka,113-81-011,Black River,Portlock Harbor,113-81-10110,57.70696859,-136.115897,9823,106,8.8,0.46,,X,,Same WShed as Black Bay North Head,X
SSE,Ketchikan,103-60-031,Blackbear Creek Big Salt,Big Salt/Trocadero Bay,103-60-10310,55.62362204,-132.9398006,4529,160,13.39,0.46,,,X,"Same WShed as Big Salt Lake N Side M, Dog Salmon Creek, and Steelhead Creek",X
SSE,Ketchikan,101-55-040,Blossom River,Smeaton Bay,101-55-10400,55.40200803,-130.6074118,5009,797,73.71,0.53,,,X,Same WShed as Bakewell Creek and Wilson River-Smeaton Bay,X
SSE,Ketchikan,101-90-072,Bond Bay North,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10720,55.5323137,-131.9603244,4921,13,0.81,0.53,,,X,Same WShed as Bond Bay South,X
SSE,Ketchikan,101-90-071,Bond Bay South,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10710,55.52396608,-131.9655302,4921,13,0.81,0.53,,,X,Same WShed as Bond Bay North,X
SSE,Ketchikan,101-27-026,Bostwick Bay SW Side,Nichols Passage,101-27-10260,55.21537372,-131.7470303,3882,7,0.26,0.56,,X,,"Doesn't fall within any Wshed, but is small and is adjacent to small Wshed (to which it is now assigned)",X
SSE,Ketchikan,101-27-036,Bostwick Creek,Nichols Passage,101-27-10360,55.26448451,-131.7686209,"3991, 3951",64,4.68,0.55,X,X,,,X
NSE Inside,Petersburg,110-23-010,Bowman Creek,Gambier Bay,110-23-10150,57.46684303,-134.1108068,10045,48,2.39,0.5,,X,,,X
