ReleaseSite,Latitude,Longitude,Stream_within_40km
CRAWFISH INLET 113-33,56.771198,-135.137599,W Crawfish NE Arm Hd
CRAWFISH INLET 113-33,56.771198,-135.137599,W Crawfish N Arm NE
CRAWFISH INLET 113-33,56.771198,-135.137599,Kizhuchia Creek
PORT ASUMCION,55.3738166,-133.5536414,Goodrow Creek
PORT ASUMCION,55.3738166,-133.5536414,11 Mile Creek
PORT ASUMCION,55.3738166,-133.5536414,Picnic Bay
PORT ASUMCION,55.3738166,-133.5536414,Shinaku Inlet
PORT ASUMCION,55.3738166,-133.5536414,Shinaku Inlet N Side
PORT ASUMCION,55.3738166,-133.5536414,Shinaku Creek
PORT ASUMCION,55.3738166,-133.5536414,Airport Creek S Klawock
PORT ASUMCION,55.3738166,-133.5536414,Crab Creek
PORT ASUMCION,55.3738166,-133.5536414,St. Nicholas N Side
PORT ASUMCION,55.3738166,-133.5536414,Port St Nicholas Head
PORT ASUMCION,55.3738166,-133.5536414,Doyle Creek
PORT ASUMCION,55.3738166,-133.5536414,Doyle Bay East Side
PORT ASUMCION,55.3738166,-133.5536414,Trocadero Bay NW Side
PORT ASUMCION,55.3738166,-133.5536414,Little John Creek
PORT ASUMCION,55.3738166,-133.5536414,Deep Bay
PORT ASUMCION,55.3738166,-133.5536414,Perlas Point Creek
PORT ASUMCION,55.3738166,-133.5536414,East of Caldera
PORT ASUMCION,55.3738166,-133.5536414,Port Caldera
PORT ASUMCION,55.3738166,-133.5536414,West of Caldera
PORT ASUMCION,55.3738166,-133.5536414,Port Estrella Head
PORT ASUMCION,55.3738166,-133.5536414,Port Estrella R Head
PORT ASUMCION,55.3738166,-133.5536414,Waterfall Creek N
PORT ASUMCION,55.3738166,-133.5536414,Waterfall Creek S
PORT ASUMCION,55.3738166,-133.5536414,Port Refugio E Arm
PORT ASUMCION,55.3738166,-133.5536414,Port Refugio W Arm R
PORT ASUMCION,55.3738166,-133.5536414,Port Refugio W Arm S
PORT ASUMCION,55.3738166,-133.5536414,Port Refugio W Arm H
PORT ASUMCION,55.3738166,-133.5536414,Port Refugio North
PORT ASUMCION,55.3738166,-133.5536414,Port Delores
PORT ASUMCION,55.3738166,-133.5536414,E of Waterfall Creek
PORT ASUMCION,55.3738166,-133.5536414,Ulloa Bay
PORT ASUMCION,55.3738166,-133.5536414,Barry Creek
PORT ASUMCION,55.3738166,-133.5536414,Tlevak Creek
PORT ASUMCION,55.3738166,-133.5536414,Soda Bay NW Side R
PORT ASUMCION,55.3738166,-133.5536414,Lively Creek
PORT ASUMCION,55.3738166,-133.5536414,North Bay
FRESHWATER BAY,57.933133,-135.1800125,Bay Head Creek
FRESHWATER BAY,57.933133,-135.1800125,Freshwater Creek
FRESHWATER BAY,57.933133,-135.1800125,Seal Creek
FRESHWATER BAY,57.933133,-135.1800125,Kennel Creek
FRESHWATER BAY,57.933133,-135.1800125,Iyouktug Creek
FRESHWATER BAY,57.933133,-135.1800125,Wukuklook Creek
FRESHWATER BAY,57.933133,-135.1800125,Gypsum Creek
FRESHWATER BAY,57.933133,-135.1800125,Lake Kathleen Creek
FRESHWATER BAY,57.933133,-135.1800125,Ward Creek
FRESHWATER BAY,57.933133,-135.1800125,Lake Florence Creek
FRESHWATER BAY,57.933133,-135.1800125,Fishery Creek
FRESHWATER BAY,57.933133,-135.1800125,N of Basket Bay
FRESHWATER BAY,57.933133,-135.1800125,Passage Point Creek
FRESHWATER BAY,57.933133,-135.1800125,Trap Bay East
FRESHWATER BAY,57.933133,-135.1800125,Corner Bay Creek
FRESHWATER BAY,57.933133,-135.1800125,Indian River-Tenakee
FRESHWATER BAY,57.933133,-135.1800125,Rudy Creek
FRESHWATER BAY,57.933133,-135.1800125,Wachusett Creek
