ReleaseSite,YearReleased,FREQUENCY,SUM_Releases_in_millions
17 MI(CHILKAT)115-32,2003,1,0.193350002
17 MI(CHILKAT)115-32,2004,1,0.472849995
17 MI(CHILKAT)115-32,2005,1,1.227391005
17 MI(CHILKAT)115-32,2006,2,0.863867015
17 MI(CHILKAT)115-32,2007,2,0.397325009
17 MI(CHILKAT)115-32,2008,1,0.217950001
17 MI(CHILKAT)115-32,2010,1,0.544972003
17 MI(CHILKAT)115-32,2011,3,2.271646976
17 MI(CHILKAT)115-32,2012,1,1.164527059
17 MI(CHILKAT)115-32,2013,1,0.380851001
17 MI(CHILKAT)115-32,2014,1,1.196567059
17 MI(CHILKAT)115-32,2015,1,1.165308952
31 MI(KLEHINI)115-32,2005,1,0.563917994
31 MI(KLEHINI)115-32,2007,1,0.492837012
31 MI(KLEHINI)115-32,2009,1,0.664982021
31 MI(KLEHINI)115-32,2010,1,0.605149984
31 MI(KLEHINI)115-32,2012,1,0.700254023
31 MI(KLEHINI)115-32,2013,1,0.723627985
31 MI(KLEHINI)115-32,2014,1,0.732936025
31 MI(KLEHINI)115-32,2015,1,0.747922003
AMALGA HARBOR 111-50,2003,2,34.87827873
AMALGA HARBOR 111-50,2004,4,36.04213285
AMALGA HARBOR 111-50,2005,3,36.79114485
AMALGA HARBOR 111-50,2006,3,34.64494801
AMALGA HARBOR 111-50,2007,3,48.09829235
AMALGA HARBOR 111-50,2008,2,45.33472443
AMALGA HARBOR 111-50,2009,1,44.0359993
AMALGA HARBOR 111-50,2010,3,44.11000061
AMALGA HARBOR 111-50,2011,2,43.4260006
AMALGA HARBOR 111-50,2012,2,45.02700043
AMALGA HARBOR 111-50,2013,2,41.96099949
AMALGA HARBOR 111-50,2014,2,42.39069939
AMALGA HARBOR 111-50,2015,2,39.56210041
AMALGA HARBOR 111-50,2016,3,31.61740017
AMALGA HARBOR 111-50,2017,2,33.65509987
ANITA BAY 107-30,2003,5,13.63063288
ANITA BAY 107-30,2004,1,13.89591599
ANITA BAY 107-30,2005,1,13.55160046
ANITA BAY 107-30,2006,2,22.49483061
ANITA BAY 107-30,2007,2,20.43899965
ANITA BAY 107-30,2008,2,19.38500023
ANITA BAY 107-30,2009,2,22.90600014
ANITA BAY 107-30,2010,2,23.72650003
ANITA BAY 107-30,2011,2,22.94899988
ANITA BAY 107-30,2012,2,22.20100021
ANITA BAY 107-30,2013,1,21.79800034
ANITA BAY 107-30,2014,1,22.65800095
ANITA BAY 107-30,2015,2,23.06500041
ANITA BAY 107-30,2016,2,22.14100027
ANITA BAY 107-30,2017,2,21.65599966
BEAR COVE 113-41,2003,1,6.802999973
BEAR COVE 113-41,2004,1,7.172500134
BEAR COVE 113-41,2005,1,7.205900192
BEAR COVE 113-41,2006,1,9.193982124
BEAR COVE 113-41,2007,1,9.613942146
BEAR COVE 113-41,2008,1,9.174618721
BEAR COVE 113-41,2009,1,9.844370842
BEAR COVE 113-41,2010,1,9.85192585
BEAR COVE 113-41,2011,1,9.948912621
BEAR COVE 113-41,2012,2,19.0354805
BEAR COVE 113-41,2013,3,18.1676774
BEAR COVE 113-41,2014,2,18.78208804
BEAR COVE 113-41,2015,2,18.19690871
BEAR COVE 113-41,2016,3,18.89102912
BEAR COVE 113-41,2017,4,17.53145432
BOAT HARBOR 115-10,2003,2,12.22321272
BOAT HARBOR 115-10,2004,2,14.57613897
BOAT HARBOR 115-10,2005,2,13.55898666
BOAT HARBOR 115-10,2006,2,13.67979193
BOAT HARBOR 115-10,2007,2,14.90186071
BOAT HARBOR 115-10,2008,2,14.71944618
BOAT HARBOR 115-10,2009,2,14.24900007
BOAT HARBOR 115-10,2010,1,13.64999962
BOAT HARBOR 115-10,2011,1,10.86200047
BOAT HARBOR 115-10,2012,1,18.3560009
BOAT HARBOR 115-10,2013,2,22.43000031
BOAT HARBOR 115-10,2014,2,22.89429951
BOAT HARBOR 115-10,2015,3,21.04570007
BOAT HARBOR 115-10,2016,2,20.6559
BOAT HARBOR 115-10,2017,1,19.21870041
BURNETT INLET 106-22,2014,1,4.906000137
BURNETT INLET 106-22,2015,2,9.638999939
BURNETT INLET 106-22,2016,2,10.40549803
BURNETT INLET 106-22,2017,2,23.48470402
CHESTER BAY 101-27,2004,1,2.260999918
CHESTER BAY 101-27,2005,1,2.315222025
CHESTER BAY 101-27,2006,2,5.318224907
CHESTER BAY 101-27,2007,3,4.310401857
CHESTER BAY 101-27,2008,2,4.970669031
CHESTER BAY 101-27,2009,2,6.878653884
CHESTER BAY 101-27,2012,1,3.880000114
CHESTER BAY 101-27,2013,1,5.900000095
CHESTER BAY 101-27,2014,1,7.599999905
CHESTER BAY 101-27,2015,1,7.099999905
CHESTER BAY 101-27,2016,1,9.56000042
CHESTER BAY 101-27,2017,1,4.340000153
CRAWFISH INLET 113-33,2015,1,13.37029362
CRAWFISH INLET 113-33,2016,2,27.79424286
CRAWFISH INLET 113-33,2017,2,23.04223156
