ReleaseSite,Latitude,Longitude,Stream_within_40km
17 MI(CHILKAT)115-32,59.351396,-135.776991,Chilkat River
17 MI(CHILKAT)115-32,59.351396,-135.776991,Herman Creek
31 MI(KLEHINI)115-32,59.419457,-136.074529,Chilkat River
31 MI(KLEHINI)115-32,59.419457,-136.074529,Herman Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Sawmill Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Cowee Creek-Berners Bay
AMALGA HARBOR 111-50,58.494901,-134.792132,Beardslee River
AMALGA HARBOR 111-50,58.494901,-134.792132,Berners River
AMALGA HARBOR 111-50,58.494901,-134.792132,St. James Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,St. James Bay NW Side
AMALGA HARBOR 111-50,58.494901,-134.792132,S of St. James Point
AMALGA HARBOR 111-50,58.494901,-134.792132,Willie's Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Robinson Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Barlow Cove W Shore
AMALGA HARBOR 111-50,58.494901,-134.792132,Barlow Head Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Bear Creek-Stephens Pas
AMALGA HARBOR 111-50,58.494901,-134.792132,Fish Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Middle Point Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Point Howard Creek
AMALGA HARBOR 111-50,58.494901,-134.792132,Howard Bay NW Side
AMALGA HARBOR 111-50,58.494901,-134.792132,Howard Bay W Side
ANITA BAY 107-30,56.1973,-132.435806,Anita Bay Head W
ANITA BAY 107-30,56.1973,-132.435806,Brad Creek NW Anita Bay
ANITA BAY 107-30,56.1973,-132.435806,Dog Salmon NE Etolin
ANITA BAY 107-30,56.1973,-132.435806,Snake Creek Olive Cove
ANITA BAY 107-30,56.1973,-132.435806,Thoms Creek
ANITA BAY 107-30,56.1973,-132.435806,Fisherman Chuck
ANITA BAY 107-30,56.1973,-132.435806,King George Creek
BEAR COVE 113-41,57.013816,-135.149595,Salmon Lake Stream
BEAR COVE 113-41,57.013816,-135.149595,Camp Coogan
BEAR COVE 113-41,57.013816,-135.149595,Kizhuchia Creek
BEAR COVE 113-41,57.013816,-135.149595,Katlian Bay S Fork
BEAR COVE 113-41,57.013816,-135.149595,Katlian River
BEAR COVE 113-41,57.013816,-135.149595,Liza Creek-Nakwasina Sound
BEAR COVE 113-41,57.013816,-135.149595,Nakwasina River
BEAR COVE 113-41,57.013816,-135.149595,Noson Creek
BOAT HARBOR 115-10,58.634308,-135.160867,St. James Bay NW Side
BOAT HARBOR 115-10,58.634308,-135.160867,St. James Creek
BOAT HARBOR 115-10,58.634308,-135.160867,S of St. James Point
BOAT HARBOR 115-10,58.634308,-135.160867,Beardslee River
BOAT HARBOR 115-10,58.634308,-135.160867,Berners River
BOAT HARBOR 115-10,58.634308,-135.160867,Cowee Creek-Berners Bay
BOAT HARBOR 115-10,58.634308,-135.160867,Sawmill Creek
BOAT HARBOR 115-10,58.634308,-135.160867,Willie's Creek
BOAT HARBOR 115-10,58.634308,-135.160867,Robinson Creek
BOAT HARBOR 115-10,58.634308,-135.160867,Endicott River
BOAT HARBOR 115-10,58.634308,-135.160867,Sullivan Creek
BOAT HARBOR 115-10,58.634308,-135.160867,Barlow Cove W Shore
BOAT HARBOR 115-10,58.634308,-135.160867,Barlow Head Creek
BURNETT INLET 106-22,56.106917,-132.470727,S Etolin Island East
BURNETT INLET 106-22,56.106917,-132.470727,Chum Creek S Etolin Mid
BURNETT INLET 106-22,56.106917,-132.470727,Kudays Creek S Etolin
BURNETT INLET 106-22,56.106917,-132.470727,McHenry Anchorage Creek
BURNETT INLET 106-22,56.106917,-132.470727,Trout Creek-McHenry Inlet
BURNETT INLET 106-22,56.106917,-132.470727,Navy Creek
BURNETT INLET 106-22,56.106917,-132.470727,Mosman Inlet SE Head
BURNETT INLET 106-22,56.106917,-132.470727,Mosman Creek E Head
BURNETT INLET 106-22,56.106917,-132.470727,Flat Creek-Mosman Inlet
BURNETT INLET 106-22,56.106917,-132.470727,Mosman Inlet NW Head
BURNETT INLET 106-22,56.106917,-132.470727,Streets Creek-Rocky Bay
BURNETT INLET 106-22,56.106917,-132.470727,Porcupine Creek
BURNETT INLET 106-22,56.106917,-132.470727,Coffman Creek
BURNETT INLET 106-22,56.106917,-132.470727,Chum Creek-Coffman
BURNETT INLET 106-22,56.106917,-132.470727,Eagle Creek-Luck Lake
BURNETT INLET 106-22,56.106917,-132.470727,Ratz Harbor Creek
BURNETT INLET 106-22,56.106917,-132.470727,Little Ratz Creek
BURNETT INLET 106-22,56.106917,-132.470727,Sal Creek
CHESTER BAY 101-27,55.131679,-131.576008,Dall Head Creek
CHESTER BAY 101-27,55.131679,-131.576008,Bostwick Bay SW Side
CHESTER BAY 101-27,55.131679,-131.576008,Bostwick Creek
CHESTER BAY 101-27,55.131679,-131.576008,Grant Creek-Gravina
CHESTER BAY 101-27,55.131679,-131.576008,Vallenar Creek
CHESTER BAY 101-27,55.131679,-131.576008,Ketchikan Creek
CHESTER BAY 101-27,55.131679,-131.576008,Herring Cove
CHESTER BAY 101-27,55.131679,-131.576008,Spit Creek
CHESTER BAY 101-27,55.131679,-131.576008,Lucky Cove
CRAWFISH INLET 113-33,56.771198,-135.137599,W Crawfish NE Arm Hd
CRAWFISH INLET 113-33,56.771198,-135.137599,W Crawfish N Arm NE
CRAWFISH INLET 113-33,56.771198,-135.137599,Kizhuchia Creek
CRESCENT BAY 113-41,57.049259,-135.324026,Katlian Bay S Fork
CRESCENT BAY 113-41,57.049259,-135.324026,Katlian River
CRESCENT BAY 113-41,57.049259,-135.324026,Liza Creek-Nakwasina Sound
CRESCENT BAY 113-41,57.049259,-135.324026,Nakwasina River
CRESCENT BAY 113-41,57.049259,-135.324026,Noson Creek
CRESCENT BAY 113-41,57.049259,-135.324026,Limit Creek
CRESCENT BAY 113-41,57.049259,-135.324026,Sukoi Inlet W Side
CRESCENT BAY 113-41,57.049259,-135.324026,St. John Baptist Head
CRESCENT BAY 113-41,57.049259,-135.324026,Marine Cove
CRESCENT BAY 113-41,57.049259,-135.324026,Camp Coogan
CRESCENT BAY 113-41,57.049259,-135.324026,Salmon Lake Stream
CRESCENT BAY 113-41,57.049259,-135.324026,Kizhuchia Creek
DEEP INLET 113-41,56.967921,-135.272814,Salmon Lake Stream
DEEP INLET 113-41,56.967921,-135.272814,Camp Coogan
DEEP INLET 113-41,56.967921,-135.272814,Kizhuchia Creek
DEEP INLET 113-41,56.967921,-135.272814,Katlian Bay S Fork
DEEP INLET 113-41,56.967921,-135.272814,Katlian River
DEEP INLET 113-41,56.967921,-135.272814,Liza Creek-Nakwasina Sound
DEEP INLET 113-41,56.967921,-135.272814,Nakwasina River
DEEP INLET 113-41,56.967921,-135.272814,Noson Creek
DEEP INLET 113-41,56.967921,-135.272814,Limit Creek
GASTINEAU CH 111-40,58.325918,-134.467461,Hilda Creek
GASTINEAU CH 111-40,58.325918,-134.467461,Admiralty Creek
GASTINEAU CH 111-40,58.325918,-134.467461,Slocum Creek
GUNNUK CR 109-42,56.9735,-133.9316,Jenny Creek
GUNNUK CR 109-42,56.9735,-133.9316,Hamilton River
GUNNUK CR 109-42,56.9735,-133.9316,Cathedral Falls Creek
GUNNUK CR 109-42,56.9735,-133.9316,Point White Creek
GUNNUK CR 109-42,56.9735,-133.9316,Kadake Creek
GUNNUK CR 109-42,56.9735,-133.9316,Saginaw Bay S Head
GUNNUK CR 109-42,56.9735,-133.9316,Saginaw Creek
GUNNUK CR 109-42,56.9735,-133.9316,SW of Pinta Rocks
GUNNUK CR 109-42,56.9735,-133.9316,Herring Bay East
GUNNUK CR 109-42,56.9735,-133.9316,Herring Bay Middle
GUNNUK CR 109-42,56.9735,-133.9316,Bergmann Creek
GUNNUK CR 109-42,56.9735,-133.9316,Chapin Bay Head
GUNNUK CR 109-42,56.9735,-133.9316,Woewodski Harbor
GUNNUK CR 109-42,56.9735,-133.9316,Eliza Lake Creek
GUNNUK CR 109-42,56.9735,-133.9316,Eliza Harbor West Side
GUNNUK CR 109-42,56.9735,-133.9316,Schooner Island
GUNNUK CR 109-42,56.9735,-133.9316,1st E Schooner Island
GUNNUK CR 109-42,56.9735,-133.9316,Lookout Point Creek
GUNNUK CR 109-42,56.9735,-133.9316,Security Bay Creek
GUNNUK CR 109-42,56.9735,-133.9316,Security Bay S Mid
GUNNUK CR 109-42,56.9735,-133.9316,Security Bay S Side
GUNNUK CR 109-42,56.9735,-133.9316,Little Pybus Bay Creek
HERMAN CR 115-32,59.413928,-136.006472,Chilkat River
HERMAN CR 115-32,59.413928,-136.006472,Herman Creek
KAKE SHA 109-40,56.9735,-133.9316,Jenny Creek
KAKE SHA 109-40,56.9735,-133.9316,Hamilton River
KAKE SHA 109-40,56.9735,-133.9316,Cathedral Falls Creek
KAKE SHA 109-40,56.9735,-133.9316,Point White Creek
KAKE SHA 109-40,56.9735,-133.9316,Kadake Creek
KAKE SHA 109-40,56.9735,-133.9316,Saginaw Bay S Head
KAKE SHA 109-40,56.9735,-133.9316,Saginaw Creek
KAKE SHA 109-40,56.9735,-133.9316,SW of Pinta Rocks
KAKE SHA 109-40,56.9735,-133.9316,Herring Bay East
KAKE SHA 109-40,56.9735,-133.9316,Herring Bay Middle
KAKE SHA 109-40,56.9735,-133.9316,Bergmann Creek
KAKE SHA 109-40,56.9735,-133.9316,Chapin Bay Head
KAKE SHA 109-40,56.9735,-133.9316,Woewodski Harbor
KAKE SHA 109-40,56.9735,-133.9316,Eliza Lake Creek
KAKE SHA 109-40,56.9735,-133.9316,Eliza Harbor West Side
KAKE SHA 109-40,56.9735,-133.9316,Schooner Island
KAKE SHA 109-40,56.9735,-133.9316,1st E Schooner Island
KAKE SHA 109-40,56.9735,-133.9316,Lookout Point Creek
KAKE SHA 109-40,56.9735,-133.9316,Security Bay S Mid
KAKE SHA 109-40,56.9735,-133.9316,Security Bay Creek
KAKE SHA 109-40,56.9735,-133.9316,Security Bay S Side
KAKE SHA 109-40,56.9735,-133.9316,Little Pybus Bay Creek
KASNYKU BAY 112-11,57.213586,-134.854883,Surprise Harbor East
KASNYKU BAY 112-11,57.213586,-134.854883,Tyee Head East
KASNYKU BAY 112-11,57.213586,-134.854883,Curtiss Creek
KASNYKU BAY 112-11,57.213586,-134.854883,Wilson Cove SE
KASNYKU BAY 112-11,57.213586,-134.854883,Wilson River
KASNYKU BAY 112-11,57.213586,-134.854883,Whitewater S Arm Head
KASNYKU BAY 112-11,57.213586,-134.854883,Whitewater Creek
KASNYKU BAY 112-11,57.213586,-134.854883,Chaik Bay Creek
KASNYKU BAY 112-11,57.213586,-134.854883,Clear River Kelp Bay
KASNYKU BAY 112-11,57.213586,-134.854883,Ralphs Creek
KASNYKU BAY 112-11,57.213586,-134.854883,Kelp Bay Middle Arm Head
KASNYKU BAY 112-11,57.213586,-134.854883,Kelp Bay Portage Arm
KASNYKU BAY 112-11,57.213586,-134.854883,Hanus Bay
KASNYKU BAY 112-11,57.213586,-134.854883,Narrows Creek
KENDRICK BAY 102-10,54.884359,-132.024802,Johnson Cove Creek
KENDRICK BAY 102-10,54.884359,-132.024802,Kegan Cove
KENDRICK BAY 102-10,54.884359,-132.024802,Perkins Creek
KENDRICK BAY 102-10,54.884359,-132.024802,Miller Lake Creek
KENDRICK BAY 102-10,54.884359,-132.024802,Dall Head Creek
KENDRICK BAY 102-10,54.884359,-132.024802,Aiken Cove
LIMESTONE IN 111-90,58.035973,-133.965063,Limestone Creek
LIMESTONE IN 111-90,58.035973,-133.965063,Prospect Creek
LIMESTONE IN 111-90,58.035973,-133.965063,Slocum Creek
LIMESTONE IN 111-90,58.035973,-133.965063,Twin Point Creek
LIMESTONE IN 111-90,58.035973,-133.965063,1st S of Twin Point
LIMESTONE IN 111-90,58.035973,-133.965063,3rd S of Twin Point
LIMESTONE IN 111-90,58.035973,-133.965063,N of Pt. Glass Penn
LIMESTONE IN 111-90,58.035973,-133.965063,S of Pt. Glass Penn
LIMESTONE IN 111-90,58.035973,-133.965063,S of Midway Point
LIMESTONE IN 111-90,58.035973,-133.965063,Turner Creek
LIMESTONE IN 111-90,58.035973,-133.965063,Sweetheart Creek
LIMESTONE IN 111-90,58.035973,-133.965063,Gilbert Creek
LIMESTONE IN 111-90,58.035973,-133.965063,Hilda Creek
NAKAT INLET 101-10,54.9562,-130.7502,Harry Bay
NEETS BAY 101-90,55.787003,-131.492166,Traitors Cove Creek
NEETS BAY 101-90,55.787003,-131.492166,Margaret Creek
NEETS BAY 101-90,55.787003,-131.492166,Naha River
NEETS BAY 101-90,55.787003,-131.492166,Loring Creek
NEETS BAY 101-90,55.787003,-131.492166,Wolf Creek
NEETS BAY 101-90,55.787003,-131.492166,Moser Bay
NEETS BAY 101-90,55.787003,-131.492166,Granite Creek
NEETS BAY 101-90,55.787003,-131.492166,Deanna Creek
NEETS BAY 101-90,55.787003,-131.492166,Stewart Creek
NEETS BAY 101-90,55.787003,-131.492166,Heckman Creek
NEETS BAY 101-90,55.787003,-131.492166,Heckman Point North
NEETS BAY 101-90,55.787003,-131.492166,Wasta Creek
NEETS BAY 101-90,55.787003,-131.492166,Spacious Bay R Head
NEETS BAY 101-90,55.787003,-131.492166,Margarita Creek
NEETS BAY 101-90,55.787003,-131.492166,Sea Lion Cove
PORT ARMSTRONG109-10,56.295827,-134.666162,Sashin Creek
PORT ARMSTRONG109-10,56.295827,-134.666162,Lovers Cove Creek
PORT ARMSTRONG109-10,56.295827,-134.666162,Deep Cove NW Head
PORT ARMSTRONG109-10,56.295827,-134.666162,Patterson Bay Head
PORT ARMSTRONG109-10,56.295827,-134.666162,P Malmesbury S Arm S
PORT ARMSTRONG109-10,56.295827,-134.666162,P Malmesbury S Arm E
PORT ARMSTRONG109-10,56.295827,-134.666162,P Malmesbury Lake Ck
PORT ARMSTRONG109-10,56.295827,-134.666162,Joyce Creek Malmesbury
PORT ARMSTRONG109-10,56.295827,-134.666162,2nd W Joyce Creek
PORT ARMSTRONG109-10,56.295827,-134.666162,Tavin Creek
PORT ARMSTRONG109-10,56.295827,-134.666162,Gods Pocket North
PORT ARMSTRONG109-10,56.295827,-134.666162,Gods Pocket West
PORT ARMSTRONG109-10,56.295827,-134.666162,Neal Creek
PORT ARMSTRONG109-10,56.295827,-134.666162,Gedney Harbor S Head
SE COVE 109-42,56.88991,-134.03572,Hamilton River
SE COVE 109-42,56.88991,-134.03572,Jenny Creek
SE COVE 109-42,56.88991,-134.03572,Cathedral Falls Creek
SE COVE 109-42,56.88991,-134.03572,Point White Creek
SE COVE 109-42,56.88991,-134.03572,Kadake Creek
SE COVE 109-42,56.88991,-134.03572,SW of Pinta Rocks
SE COVE 109-42,56.88991,-134.03572,Schooner Island
SE COVE 109-42,56.88991,-134.03572,1st E Schooner Island
SE COVE 109-42,56.88991,-134.03572,Woewodski Harbor
SE COVE 109-42,56.88991,-134.03572,Eliza Lake Creek
SE COVE 109-42,56.88991,-134.03572,Eliza Harbor West Side
SE COVE 109-42,56.88991,-134.03572,Chapin Bay Head
SE COVE 109-42,56.88991,-134.03572,Herring Bay East
SE COVE 109-42,56.88991,-134.03572,Herring Bay Middle
SE COVE 109-42,56.88991,-134.03572,Bergmann Creek
SE COVE 109-42,56.88991,-134.03572,Tyee Head East
SE COVE 109-42,56.88991,-134.03572,Curtiss Creek
SE COVE 109-42,56.88991,-134.03572,Surprise Harbor East
SE COVE 109-42,56.88991,-134.03572,Saginaw Bay S Head
SE COVE 109-42,56.88991,-134.03572,Saginaw Creek
SE COVE 109-42,56.88991,-134.03572,Salt Chuck-Security Bay
SE COVE 109-42,56.88991,-134.03572,Security Bay Creek
SE COVE 109-42,56.88991,-134.03572,Security Bay S Side
SE COVE 109-42,56.88991,-134.03572,Security Bay S Mid
SE COVE 109-42,56.88991,-134.03572,Lookout Point Creek
SE COVE 109-42,56.88991,-134.03572,Piledriver Cove NW Kuiu
TAKATZ BAY 112-11,57.141273,-134.841961,Wilson Cove SE
TAKATZ BAY 112-11,57.141273,-134.841961,Wilson River
TAKATZ BAY 112-11,57.141273,-134.841961,Surprise Harbor East
TAKATZ BAY 112-11,57.141273,-134.841961,Tyee Head East
TAKATZ BAY 112-11,57.141273,-134.841961,Curtiss Creek
TAKATZ BAY 112-11,57.141273,-134.841961,Whitewater S Arm Head
TAKATZ BAY 112-11,57.141273,-134.841961,Whitewater Creek
TAKATZ BAY 112-11,57.141273,-134.841961,Clear River Kelp Bay
TAKATZ BAY 112-11,57.141273,-134.841961,Ralphs Creek
TAKATZ BAY 112-11,57.141273,-134.841961,Kelp Bay Middle Arm Head
TAKATZ BAY 112-11,57.141273,-134.841961,Kelp Bay Portage Arm
